2018/12/26 14:50:34.430 [D]  init logger succ
2018/12/26 15:02:07.334 [D]  init logger succ
2018/12/26 15:55:33.496 [D]  init logger succ
2018/12/26 15:55:34.249 [E]  init kafka failed ,err=kafka: client has run out of available brokers to talk to (Is your cluster reachable?)
2018/12/26 15:55:34.249 [E]  init kafka failed,err= kafka: client has run out of available brokers to talk to (Is your cluster reachable?)
2018/12/26 15:58:17.583 [D]  init logger succ
2018/12/26 15:58:18.335 [E]  init kafka failed ,err=kafka: client has run out of available brokers to talk to (Is your cluster reachable?)
2018/12/26 15:58:18.335 [E]  init kafka failed,err= kafka: client has run out of available brokers to talk to (Is your cluster reachable?)
2018/12/26 16:12:11.814 [D]  init logger succ
2018/12/26 16:12:11.829 [D]  initKafka succ
2018/12/26 16:12:11.856 [D]  init ES succ
2018/12/26 16:20:14.854 [D]  partition:1,offset:42,Key:,Value:2018/12/26 01:52:39.080 [D]  test for logger 15
2018/12/26 16:20:14.856 [D]  partition:5,offset:38,Key:,Value:2018/12/26 01:52:27.071 [D]  test for logger 3
2018/12/26 16:20:14.864 [D]  partition:2,offset:50,Key:,Value:2018/12/26 01:52:35.077 [D]  test for logger 11
2018/12/26 16:20:14.866 [D]  partition:0,offset:37,Key:,Value:2018/12/26 15:59:00.080 [D]  load conf success,conf:&{debug /home/alan8254402/go/src/LCS/logsForTest/logAgent.log 100 192.168.76.139:9092 [{/home/alan8254402/go/src/LCS/logsForTest/logAgent.log nginx_log}] 192.168.76.139:2379 /oldboy/backend/logagent/config/}
2018/12/26 16:20:14.871 [D]  partition:6,offset:46,Key:,Value:2018/12/26 01:52:25.071 [D]  init kafka success
2018/12/26 16:20:14.875 [D]  partition:7,offset:33,Key:,Value:2018/12/26 15:59:00.080 [E]  invalid config for log collect,conf:[]
2018/12/26 16:20:14.879 [D]  partition:4,offset:34,Key:,Value:2018/12/26 16:20:13.644 [D]  test for logger 1
2018/12/26 16:20:14.881 [D]  partition:3,offset:33,Key:,Value:2018/12/26 01:52:31.074 [D]  test for logger 7
2018/12/26 16:20:14.886 [D]  partition:5,offset:39,Key:,Value:2018/12/26 01:52:40.081 [D]  test for logger 16
2018/12/26 16:20:14.889 [D]  partition:1,offset:43,Key:,Value:2018/12/26 01:52:49.088 [D]  test for logger 25
2018/12/26 16:20:14.893 [D]  partition:2,offset:51,Key:,Value:2018/12/26 01:52:36.078 [D]  test for logger 12
2018/12/26 16:20:14.899 [D]  partition:7,offset:34,Key:,Value:2018/12/26 16:01:52.658 [D]  load conf success,conf:&{debug /home/alan8254402/go/src/LCS/logsForTest/logAgent.log 100 192.168.76.139:9092 [{/home/alan8254402/go/src/LCS/logsForTest/logAgent.log nginx_log}] 192.168.76.139:2379 /oldboy/backend/logagent/config/}
2018/12/26 16:20:14.906 [D]  partition:6,offset:47,Key:,Value:2018/12/26 01:52:26.071 [D]  test for logger 2
2018/12/26 16:20:14.910 [D]  partition:0,offset:38,Key:,Value:2018/12/26 15:59:00.834 [E]  init kafka produce failed ,err kafka: client has run out of available brokers to talk to (Is your cluster reachable?)
2018/12/26 16:20:14.915 [D]  partition:3,offset:34,Key:,Value:2018/12/26 01:52:33.075 [D]  test for logger 9
2018/12/26 16:20:14.920 [D]  partition:2,offset:52,Key:,Value:2018/12/26 01:52:41.081 [D]  test for logger 17
2018/12/26 16:20:14.928 [D]  partition:7,offset:35,Key:,Value:2018/12/26 16:11:34.070 [D]  resp from etcd:[key:"/oldboy/backend/logagent/config/192.168.76.139" create_revision:107 mod_revision:107 version:1 value:"[{\"logpath\":\"/home/alan8254402/go/src/LCS/logsForTest/logAgent.log\",\"topic\":\"nginx_log\"},{\"logpath\":\"../main/logs/nginx/err.log\",\"topic\":\"nginx_log_err2\"}]" ]
2018/12/26 16:20:14.932 [D]  partition:6,offset:48,Key:,Value:2018/12/26 01:52:28.072 [D]  test for logger 4
2018/12/26 16:20:14.938 [D]  partition:1,offset:44,Key:,Value:2018/12/26 01:52:51.090 [D]  test for logger 27
2018/12/26 16:20:14.956 [D]  partition:2,offset:53,Key:,Value:2018/12/26 01:52:53.092 [D]  test for logger 29
